title;nid;pid;weight
"Welkóm beej 't Theater van 't Laeve";1;1;;0;
"Euver Frans Boermans";2;1;1;-15;
"Heibel op 't Hetje ";3;1;1;-7;
"Welkom bij het Theater van 't Laeve";4;4;;0;
"Over Frans Boermans";5;4;4;-15;
"Kunszinnige leider";6;1;3;-13;
"Organisatie";10;1;1;-6;
"Hyperlink";12;4;4;-4;
"Heibel op 't Hetje ";14;4;4;-7;
"Uitvoerenden";15;4;14;-13;
"Over Hugo Weerens";16;4;14;-14;
"Data en kaartjes";17;4;14;-15;
"Organisatie";19;4;4;-6;
"Data en kaertjes";32;1;3;-15;
"Nova Venlo ";37;4;4;-8;
"Nova Venlo";38;1;1;-8;
"Speeldata en kaartjes";39;4;37;-15;
"Speuldaag en kaertjes";40;1;38;-15;
"Hyperlink";42;1;1;-4;
"De oètveurende";43;1;3;-14;
"Oètveurende";45;1;38;-14;
"De uitvoerenden";46;4;37;-14;
"Euver Frans Pollux";68;1;163;-14;
"Euver Cees Rullens";90;1;163;-15;
"Over Cees Rullens";91;4;164;-14;
"Over Frans Pollux";92;4;164;-15;
"Leedjes van ‘t Hetje";123;1;3;-11;
"Liedjes van het Hetje";125;4;14;-12;
"Alle leedjes";148;1;38;-13;
"Alle liedjes uit Nova Venlo";149;4;37;-13;
"Data en kaartjes";160;4;164;-13;
"Datum en kaertjes ";161;1;163;-13;
"Ze Kump ";163;1;1;-9;
"Ze Kump ";164;4;4;-9;
"Repetitiedata voor het jaar 2008";167;4;164;0;
"Gastenboek 2006";169;4;37;-12;
"Foto's Heibel op 't Hetje";176;1;3;-12;
"Foto's Heibel op 't Hetje";177;4;14;0;
"De speulers";178;1;163;-12;
"Uitvoerenden";179;4;164;-12;
"Kóntak";187;187;;-6;
"Mutsaersstichting";188;1;215;-8;
"Mutsaersstichting";189;4;214;-8;
"Goede gevers";195;4;4;-5;
"Gooj Gaevers";196;1;1;-5;
"Vrind van 't Volkstheater ";207;1;1;-14;
"Vriend van het Volkstheater ";208;4;4;-14;
"De leedjes ";209;1;163;-11;
"De liedjes";210;4;164;-11;
"De uitvoerenden";211;4;214;-13;
"Datum en kaartjes 2009";212;4;214;-14;
"Sjraar de Clochard ";214;4;4;-10;
"Sjraar de Clochard ";215;1;1;-10;
"Datum en kaertjes 2009";216;1;215;-14;
"De oètveurende";217;1;215;-13;
"Liedjes en foto's";224;4;214;-9;
"Leedjes en foto's";225;1;215;-9;
"'t Kuurke";234;1;215;-12;
"Het koor";235;4;214;-12;
"Kerskiendjes in 2009";239;1;215;-10;
"Kerstkindjes in 2009";240;4;214;-10;
"Datum en kaartjes 2010";264;4;214;-15;
"Datum en kaertjes 2010";265;1;215;-15;
"Gastenboek ";271;271;;-6;
"Kerstkindjes in 2010";285;4;214;-11;
"Kerskiendjes in 2010";293;1;215;-11;
"De Razzeldazzel ";297;4;4;-11;
"Datum en kaartjes.";298;4;297;-15;
"De Razzeldazzel ";299;1;1;-11;
"Datum en kaertjes ";300;1;299;-15;
"Uitvoerenden";303;4;297;-14;
"Oètveurende";304;1;299;-14;
"Over Marnix Mulder";307;4;403;-13;
"Euver Marnix Mulder";308;1;401;-13;
"Over Wim Naus";309;4;357;-12;
"Euver Wim Naus";310;1;355;-12;
"Ózze Razzeldazzelkrant";312;1;299;-10;
"Onze Razzeldazzelkrant";334;4;297;-10;
"Liedjes";337;4;297;-9;
"Leedjes";338;1;299;-9;
"Teks van de leedjes";342;1;338;0;
"Foto's";345;1;299;-8;
"Foto's";349;4;297;-8;
"Muulke 2012";352;4;297;0;
"Muulke 2012";353;1;299;0;
"Beej ós in de Floddergats";355;1;1;-12;
"Datum en kaertjes";356;1;355;-15;
"Beej ós in de Floddergats";357;4;4;-12;
"Datum en kaartjes";358;4;357;-15;
"Uitvoerenden";359;4;357;-14;
"Oètveurende";360;1;355;-14;
"Wasdaag";365;1;355;0;
"Wasdag";367;4;357;0;
"Over Sef Peeters";369;4;357;0;
"Euver Sef Peeters";370;1;355;0;
"Foto's";377;1;355;0;
"Foto's";387;4;357;1;
"Leedjes";390;1;355;0;
"Liedjes";391;4;357;0;
"Teks van de leedjes";392;1;390;0;
"Tekst van de liedjes";393;4;391;0;
"'t Patternaat";401;1;1;-13;
"Datum en kaertjes";402;1;401;-15;
"'t Patternaat";403;4;4;-13;
"Datum en kaartjes";404;4;403;-15;
"De uitvoerenden";407;4;403;-14;
"Oetveurende";408;1;401;-14;
"Euver Marga Kuijpers";410;1;401;0;
"Over Marga Kuijpers";411;4;403;0;
"Euver Sef Peeters";414;1;401;0;
"Over Sef Peeters";415;4;403;0;
"Over Wim Naus";418;4;403;0;
"Euver Wim Naus";419;1;401;0;
"Alle leedjes";424;1;401;4;
"Alle liedjes";425;4;403;4;
"Foto's";427;1;401;5;
"Foto's";431;4;403;5;
"Toespraok ";432;1;2;0;
"Toespraak";433;4;5;0;
"'t Muulke";434;4;403;0;
"'t Muulke";435;1;401;0;
